Key,1,2,3,4,5
Self_Concept0,Below average,Not Used,Average,Not Used,Above average
Self_Concept1,Below average,Not Used,Average,Not Used,Above average
Self_Concept2,Below average,Not Used,Average,Not Used,Above average
Self_Concept3,Below average,Not Used,Average,Not Used,Above average
Self_Concept4,Below average,Not Used,Average,Not Used,Above average
Self_Concept5,Below average,Not Used,Average,Not Used,Above average
Self_Concept6,Below average,Not Used,Average,Not Used,Above average
Self_Concept7,Below average,Not Used,Average,Not Used,Above average
Self_Concept8,Below average,Not Used,Average,Not Used,Above average
Self_Concept9,Below average,Not Used,Average,Not Used,Above average
Support_Networks_School1,1,2,3,4,5
Support_Networks_School2,1,2,3,4,5
Support_Networks_Family1,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
Support_Networks_Family2,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
Support_Networks_Family3,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
Support_Networks_Family4,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
Support_Networks_Family5,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree
Academic_Identity1,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Identity2,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Identity3,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Identity4,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Identity5,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Identity6,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Growth_Mindset_Self_Efficacy1,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Growth_Mindset_Self_Efficacy2,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Growth_Mindset_Self_Efficacy3,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Growth_Mindset_Self_Efficacy4,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Growth_Mindset_Self_Efficacy5,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Growth_Mindset_Self_Efficacy6,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Intrinsic_Motivation1,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Intrinsic_Motivation2,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Intrinsic_Motivation3,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Intrinsic_Motivation4,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Organization_Time_Management1,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Organization_Time_Management2,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Organization_Time_Management3,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Organization_Time_Management4,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Delay_of_Gratification1,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Delay_of_Gratification2,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Academic_Delay_of_Gratification3,Not at all true,A little true,Somewhat true,Mostly true,Completely true
Performance_Avoidance1,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Performance_Avoidance2,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Performance_Avoidance3,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Performance_Avoidance4,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Performance_Avoidance5,Completely true,Mostly true,Somewhat true,A little true,Not at all true
Self_Regulation1,Completely like me,Mostly like me,Somewhat like me,A little like me,Not at all like me
Self_Regulation2,Completely like me,Mostly like me,Somewhat like me,A little like me,Not at all like me
Self_Regulation3,Completely like me,Mostly like me,Somewhat like me,A little like me,Not at all like me
Self_Regulation4,Completely like me,Mostly like me,Somewhat like me,A little like me,Not at all like me
HS_Preparation,Very poorly,Somewhat poorly,Average,Somewhat well,Very well
